first_name,middle_initial,last_name,animal,material,country
Zacharie,S,Tasch,"Dove, mourning collared",Steel,Indonesia
Molli,J,De Bell,"Deer, savannah",Glass,Poland
Mickie,O,Gammet,"Crab, red lava",Aluminum,China
Tawnya,F,Sprowles,"Lark, horned",Granite,Mongolia
Erminia,L,Slane,Water moccasin,Wood,China
Manon,V,Lambden,Ring-tailed coatimundi,Glass,Brazil
Else,Y,Meese,Eastern grey kangaroo,Plastic,Sweden
Art,F,McCoole,Bleeding heart monkey,Plastic,Malta
Beau,U,Ferran,"Ox, musk",Plastic,Russia
Freemon,G,Oultram,"Flamingo, chilean",Glass,Poland
Gaelan,R,Blackie,"Boa, cook's tree",Vinyl,Indonesia
Miguel,Y,Oxtarby,"Goose, canada",Glass,Indonesia
Daryl,A,Latehouse,Savannah deer,Plastic,Indonesia
Ileane,F,Roll,"Goldeneye, common",Plexiglass,Russia
Giana,B,Denisovo,Little blue penguin,Aluminum,Netherlands
Matthaeus,Z,Blaydes,"Lion, galapagos sea",Vinyl,Indonesia
Chip,E,Burland,"Wallaby, whip-tailed",Rubber,Portugal
Minnnie,V,Galia,"Darter, african",Steel,China
Mellicent,X,Kitchingman,Mule deer,Stone,Albania
Frasier,J,Kelsell,"Creeper, black-tailed tree",Plexiglass,China
Jacquelynn,A,Flett,Eastern fox squirrel,Aluminum,Pakistan
Whitney,Q,Clemensen,"Wapiti, elk,",Glass,China
Alvin,H,Gehrts,"Owl, australian masked",Aluminum,China
Hebert,S,Stiffkins,Tokay gecko,Wood,Colombia
Norbert,C,Ravenshaw,Frilled lizard,Glass,Indonesia
Elvira,V,Kingzeth,Savannah deer (unidentified),Steel,Uruguay
Nicoline,J,Meddows,"Mouse, four-striped grass",Wood,Argentina
Joseito,Z,Worsnop,Red meerkat,Granite,Lithuania
Maisie,Z,Varndell,"Caracara, yellow-headed",Vinyl,Indonesia
Tremaine,L,Spoure,"Porcupine, tree",Brass,Indonesia
Doroteya,C,Lindborg,Western patch-nosed snake,Plexiglass,Ireland
Josefa,P,Fydoe,Great kiskadee,Aluminum,Brazil
Fredericka,O,Cayzer,"Goose, knob-nosed",Stone,Namibia
Madeline,C,Nuemann,Blacksmith plover,Brass,Brazil
Alan,M,Randall,Galah,Glass,Colombia
Eward,W,McGuinley,"Bat, madagascar fruit",Aluminum,Bosnia and Herzegovina
Peirce,N,Vannucci,Horned rattlesnake,Vinyl,Czech Republic
Kippie,A,Crosham,"Dolphin, common",Rubber,Peru
Jeremy,U,Walburn,Red hartebeest,Brass,Indonesia
Ronnica,S,Tremble,Oribi,Brass,Pakistan
Alejandro,J,Medendorp,"Cat, tiger",Steel,Indonesia
Ruy,G,Beadles,"Lizard, frilled",Steel,Philippines
Stacee,X,Klimshuk,Common shelduck,Plexiglass,Iran
Gwenore,H,Graeser,Black-fronted bulbul,Plastic,China
Rebecca,E,Schindler,"Starfish, crown of thorns",Plastic,Finland
Helenka,G,Devenny,"Flycatcher, tyrant",Brass,Italy
Lissi,W,Oslar,"Squirrel, antelope ground",Aluminum,Ukraine
Carter,D,Bridgstock,Mara,Vinyl,El Salvador
Deonne,A,Taffe,"Seal, northern fur",Aluminum,Venezuela
Tilda,Y,Shird,Turkey vulture,Vinyl,China
Arluene,C,Petrushanko,"Glider, squirrel",Wood,China
Annabella,M,Iley,"Eagle, bald",Plexiglass,Czech Republic
Elayne,J,Lackie,Caribou,Granite,Indonesia
Winona,O,Culley,"Snake, carpet",Brass,Poland
Tab,S,Sipson,Emu,Plexiglass,Morocco
Delmar,H,Crosbie,"Crane, sarus",Brass,Portugal
Pat,Y,Cosstick,"Owl, great horned",Rubber,Moldova
Worth,U,Jerzyk,"Skink, blue-tongued",Aluminum,Albania
Kathye,S,Giriardelli,"Vulture, black",Stone,Indonesia
Cyndi,U,Galvin,"Dove, mourning collared",Plexiglass,France
Cherilynn,Q,Parradine,"Stork, marabou",Steel,Indonesia
Jacques,H,MacMaykin,"Sloth, two-toed",Plexiglass,Tajikistan
Marcille,K,Sondon,Nilgai,Aluminum,Argentina
Cinnamon,S,Scarman,Greylag goose,Aluminum,Syria
Melicent,U,Jeannet,Common grenadier,Wood,Canada
Phaedra,S,Jesse,Egyptian vulture,Steel,Japan
Newton,I,Karpov,Common melba finch,Plastic,Indonesia
Seana,L,Sames,Laughing dove,Rubber,Ukraine
Garrard,K,Anmore,Steenbok,Wood,China
Maximilien,Y,McVicker,Green-backed heron,Glass,Sweden
Valentin,X,Housegoe,Eastern grey kangaroo,Brass,Bolivia
Fred,N,Becke,African porcupine,Steel,Philippines
Carmelina,P,Nigh,Scottish highland cow,Stone,China
Merry,N,Skillen,"Otter, small-clawed",Plexiglass,South Korea
Corie,R,Canario,Pale white-eye,Granite,China
Chandler,J,Kinsey,Masked booby,Granite,Philippines
Allie,Y,Shone,Frilled lizard,Wood,South Africa
Lilia,I,Durdle,"Possum, western pygmy",Wood,Finland
Kleon,N,Spira,"Wallaroo, common",Aluminum,Mexico
Judye,W,Davenport,"Goose, egyptian",Plexiglass,Angola
Langsdon,J,Hyde,"Seal, harbor",Rubber,Ukraine
Cordy,E,Fielden,"Bird, black-throated butcher",Rubber,China
Odell,H,Muscat,Dromedary camel,Aluminum,France
Chauncey,G,Band,Platypus,Rubber,China
